"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Verify the guide button also remains non-floating on desktop viewport.
    ","1134","test_guide_button_desktop_header_position","tests","2026-04-03","passed","2026-04-03","","test_mobile_fab_position","",""
"
    Verify that the guide button (#guideFab) is inline in the top header row
    and does not overlap adjacent controls on mobile viewport (480x800).
    ","1186","test_mobile_guide_button_inline_in_header","tests","2026-04-03","passed","2026-04-03","","test_mobile_fab_position","",""
